id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr,trailer_url,video_id,index_original
tt10081788,L'oiseau de paradis,2020,89,['Drama'],"['Sebastian Urzendowsky', 'Blanche-Neige Huri', 'Patrick Descamps']","['Teivi', 'Yasmina', 'Député Gilot']",['Paul Manate'],5.2,27.0,"While Teivi is just a typical ambitious young man from the Tahitian golden youth, his distant cousin, Yasmina, is a full-blooded Maori owner of a mysterious gift that isolates her from the world. When  their paths clash, she will determinedly give full vent to her hided magic powers.",1.359,/bFb8rrph39j9lHK0vyevfDA4Zyk.jpg,"Jeune assistant parlementaire métis, amoral et séducteur, Teivi revoit un jour Yasmina, une lointaine cousine maorie aux pouvoirs mystiques, qui lui fait une étrange prédiction. Mais en proie à des malaises hallucinatoires et empêtré dans une affaire de corruption immobilière, Teivi perd pied.  Persuadé que Yasmina peut le guérir, il part à sa recherche et chemine jusqu’à la presqu’île fantasmagorique de Tahiti.  L’Oiseau de paradis raconte un Tahiti intime et légendaire, métis et vivant. Un conte mystique et contemporain sur le plus beau des paradis perdus.",,,0
tt10143308,Tout nous sourit,2020,101,['Comedy'],"['Elsa Zylberstein', 'Stéphane De Groodt', 'Guy Marchand']","['Audrey Pottier', 'Jérôme Pottier', 'Henri Pottier']",['Mélissa Drigeard'],5.4,371.0,"The members of an apparently happy couple, each with their respective lovers, have the same idea: spending the weekend at their holiday home. Finding each other there is only the beginning of an awkward and hilarious weekend.",2.68,/uyZG3WYk3oUqbRYunL92N8MFzZT.jpg,"Tout sourit à Audrey et Jérôme. Ils ont trois merveilleux enfants et leurs métiers les passionnent. Le temps d’un week-end, ils partent chacun de leur côté... Avec leurs amants respectifs. Sauf qu’ils ont la même idée : aller dans leur maison de campagne. Quand ils se retrouvent nez à nez, c'est l'explosion. Arrivent alors les parents d’Audrey, puis leurs enfants et enfin sa sœur. Le quatuor n’a pas d’autre choix que jouer la comédie pour sauver les apparences. Mais très vite le vernis et les nerfs craquent...",https://www.youtube.com/watch?v=MmMTCKiipOI,MmMTCKiipOI,1
tt10233406,Les blagues de Toto,2020,84,"['Comedy', 'Family']","['Gavril Dartevelle', 'Guillaume de Tonquédec', 'Anne Marivin']","['Toto', 'Jérôme, le papa de Toto', 'Sylvie, la maman de Toto']",['Pascal Bourdiaux'],4.0,190.0,"Back-to-school! For troublemaker Toto, it’s the best playground for fooling around. When a sculpture collapses during the opening of a museum, Toto is immediately blamed.  To prove his innocence, Toto has no other option but making a pact with Igor, the school nerd. In exchange for his help, Toto will help Igor being cool.  The unlikely duo turns into little detectives. A fun and exciting adventure begins…",3.014,/4tZzPJHuszU7SxcqYTh7KH6cwBW.jpg,"A l’école, Toto est bien plus doué pour faire rire ses copains qu’écouter les leçons de la maîtresse. Avec ses parents aussi, les blagues de Toto se transforment souvent en catastrophes… La dernière en date ? La chute d’une sculpture pendant un évènement organisé par le patron de son père. Mais cette fois-ci, Toto assure qu’il est innocent et refuse d’être accusé d’une bêtise que pour une fois, il n’a pas faite ! Avec ses meilleurs amis, il va mener l’enquête.",https://www.youtube.com/watch?v=oZThB7gPKIk,oZThB7gPKIk,2
tt10251538,10 jours sans maman,2020,104,"['Comedy', 'Family']","['Franck Dubosc', 'Aure Atika', 'Alice David']","['Antoine Mercier', 'Isabelle Mercier', 'Julia']",['Ludovic Bernard'],5.4,1297.0,"Antoine is the Head of HR of a big company. Managing people is his thing, so when his overwhelmed wife suddenly decides to go on holiday and leave him with the responsibility of the house and their four kids, he knows it will be a piece of cake for him. But Antoine has drastically underestimated the mess that four mischievous kids can cause...",7.75,/xEbSztKAAwIljX8A537HeZDKXUS.jpg,"Antoine, DRH d'une grande enseigne de bricolage, est en passe de devenir le numéro 1 de sa boîte. C'est le moment que choisit sa femme, Isabelle, pour faire une pause et prendre l'air quelques jours pour s'occuper d'elle. Antoine se retrouve alors seul à devoir gérer la maison et leur quatre enfants. Il est vite dépassé par les événements !",https://www.youtube.com/watch?v=uK4kF5Wa20U,uK4kF5Wa20U,3
tt10369344,L'aventure des Marguerite,2020,89,"['Comedy', 'Family', 'Fantasy']","['Lila Gueneau', 'Lila Gueneau', 'Alice Pol']","['Margot', 'Marguerite', 'Tante Alice']",['Pierre Coré'],6.1,342.0,"Margot and Marguerite are 12-year-old girls who seem no different from any other youngsters with the usual family and peer problems. While they appear to have similar faces and body shapes, they wear different clothes and hairstyles, but the biggest difference between them is that one lives in 1942 and the other in 2020. When the girls crawled into a wooden chest they were magically sent into each other’s timeline, and because the girls look so similar their family and friends do not notice the swap.",3.531,/dneHtelc4qqqOJzzaGzpixjA88W.jpg,"Marguerite et Margot ont toutes les deux douze ans, avec chacune sa famille, ses copains, ses problèmes... Et son époque. Car l’une vit en 1942 et l’autre en 2018. Mais c’est sans compter sur une mystérieuse malle magique qui les transporte chacune dans l’époque de l’autre. Margot et Marguerite ont un autre point commun : leur père n’est plus là, disparu en pleine 2ème Guerre Mondiale ou n’habitant plus à la maison. À 70 ans d’écart, elles se lancent dans une grande aventure pour retrouver leurs présents, explorant l’Histoire, mais aussi la mémoire de leurs familles.",https://www.youtube.com/watch?v=po1cM7egniA,po1cM7egniA,4
tt10392128,Attention au départ !,2021,93,['Comedy'],"['André Dussollier', 'Jérôme Commandeur', 'Jonathan Lambert']","['Antoine', 'Benjamin', 'Michaud']",['Benjamin Euvrard'],5.2,397.0,"Finally, the holidays are here! Vlad and his friends are so excited! Jérôme, Vlad’s father, is in charge. André, the grandfather of Jeanne and Basile, is also here to help. Six kids, two adults, an eight-hour train trip. Nothing could go wrong. But Jérôme and André miss the train… and watch it leave the station with the kids on board. It’s the beginning of a crazy race for the unlikely duo. While the unsupervised children go wild and have the time of their life, André and Jérôme go through various delays and adventures…",4.913,/89JKGiDKxIaW3Hieficws0eiBLr.jpg,"Rater le train, c'est moche. Alors le voir partir avec vos enfants et ceux de vos amis dont vous avez la charge, c’est une autre histoire… Celle de la folle course-poursuite de Benjamin, papa poule un peu dépassé et Antoine, grand-père fantasque, qui doivent trouver une solution avant qu’on apprenne… qu’ils ont perdu les gosses ! Rattraper le train est leur seule chance de se rattraper...",https://www.youtube.com/watch?v=PU0dFAAwjis,PU0dFAAwjis,5
tt10415020,L'homme parfait,2022,86,['Comedy'],"['Didier Bourdon', 'Pierre-François Martin-Laval', 'Valérie Karsenti']","['Franck Pernet', 'Bobby', 'Florence']",['Xavier Durringer'],4.6,186.0,"Florence, a lawyer overwhelmed by her family life, decides to buy a humanoid robot with a perfect physique. The robot meets all her expectations: maintain the house, take care of the children, and more... By maliciously disrupting their daily routine, the robot also arouses the jealousy of her self-centered careless husband, Franck, a second-class actor who suddenly realizes he must make some efforts not to lose the love of his wife.",2.671,/uh0zvgzErHrSXmIkW9YL9H9PFZc.jpg,"Florence, débordée par sa vie de famille et son travail, décide d’acheter un robot à l’apparence humaine et au physique parfait. Il répond à toutes ses attentes : entretenir la maison, s’occuper des enfants, et plus encore… Mais le robot va vite susciter de la jalousie chez Franck, son mari acteur je-m’en-foutiste au chômage. De peur de perdre sa femme, Franck décide de reprendre les choses en mains, d’autant que le robot semble trouver un malin plaisir à semer le trouble dans leur couple !",https://www.youtube.com/watch?v=7UuD7w5ePr8,7UuD7w5ePr8,6
tt10438512,La ruche,2021,81,['Drama'],"['Ludivine Sagnier', 'Sophie Breyer', 'Mara Taquin']","['Alice', 'Marion', 'Claire']",['Christophe Hermans'],5.9,202.0,"As far as they can remember, Marion, Claire and Louise have been living at the pace of their mother Alice’s ups and downs. Now, love is everything that they have left to fight the spiral of self-destruction in which Alice is sinking even more deeply. An unconditional love as violent as it is indescribable.",1.858,/34q3si2lNccw9sOo2X8n0nUdL0R.jpg,"Du plus loin qu'elles s'en souviennent, Marion Claire et Louise ont toujours vécu au rythme des joies et de la douleur d'Alice, leur mère. Aujourd'hui, elles n'ont plus que leur amour à opposer à cette spirale destructice dans laquelle Alice sombre chaque jour davantage. Un amour infini, aussi violent qu’indicible.",https://www.youtube.com/watch?v=mGGPXuGVgUg,mGGPXuGVgUg,7
tt10457128,Été 85,2020,101,"['Drama', 'Romance']","['Félix Lefebvre', 'Benjamin Voisin', 'Philippine Velge']","['Alexis Robin', 'David Gorman', 'Kate']",['François Ozon'],6.9,14343.0,"What do you dream of when you're 16-years-old and in a seaside resort in Normandy in the 1980s? A best friend? A lifelong teen pact? Scooting off on adventures on a boat or a motorbike? Living life at breakneck speed? No. You dream of death. Because you can't get a bigger kick than dying. And that's why you save it till the very end. The summer holidays are just beginning, and this story recounts how Alexis grew into himself.",13.399,/rkJKDC5gYrPXQx9IqNaUhSb3beC.jpg,"L’été de ses 16 ans, Alexis, lors d’une sortie en mer sur la côte normande, est sauvé héroïquement du naufrage par David, 18 ans. Alexis vient de rencontrer l’ami de ses rêves. Mais le rêve durera-t-il plus qu'un été ? L’été 85…",https://www.youtube.com/watch?v=ZG0tRdHpCBk,ZG0tRdHpCBk,8
tt10658928,Ducobu 3,2020,94,"['Comedy', 'Family']","['Elie Semoun', 'Elie Semoun', 'Émilie Caen']","['Gustave et Maman Latouche', 'Gérard Gérardini', 'Mademoiselle Rateau']",['Elie Semoun'],4.2,284.0,"Back to school for Ducobu, Léonie Gratin and Latouche. But this year, a major rival for Ducobu arrives at school: TGV, the king of cheating 3.0. While the financial situation of Saint-Potache becomes disastrous, the two dunces will have to unite their creativity to win a song contest and save their school.",6.576,/dgRCz2Zh4UZ4KBiVOZu7N2AJAQx.jpg,"Nouvelle rentrée des classes pour l'élève Ducobu, Léonie Gratin et l'instituteur Latouche. Mais cette année, un rival de taille pour Ducobu débarque à l’école : TGV, le roi de la triche 2.0. Alors que la situation financière de Saint-Potache devient désastreuse, les deux cancres vont devoir unir leurs créativités pour remporter un concours de chant et sauver leur école.",https://www.youtube.com/watch?v=L9XLJPHp-ys,L9XLJPHp-ys,9
