id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr,trailer_url,video_id
tt10023150,Mon cousin,2020,104,Comedy,"['Vincent Lindon', 'Matei Dussarps', 'Pascale Arbillot']","['Pierre Pastié', 'Adrien jeune', 'Olivia Pastié']",Jan Kounen,5.3,706.0,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,"Pierre est le PDG du groupe Pastié qui réunit les plus grandes marques internationales d’alcool mais aussi de grands crus classés. Comme tous les cinq ans, il doit renouveler chez le notaire le contrat qui le lie à son cousin Adrien. Un cousin qu’il ne supporte pas parce que ce dernier malgré lui enchaîne les maladresses et les gaffes qui risquent une fois de plus de mettre la société en péril ! Mais cette fois-ci les choses vont mal tourner... Sur le ton de la comédie les deux cousins aux tempéraments extraordinairement opposés vont se retrouver embarqués dans une aventure rocambolesque jusque dans les luxueux vignobles du Bordelais où, face à l’adversité, ils vont finir par se réconcilier.",https://www.youtube.com/watch?v=jghOJFkZOKI,jghOJFkZOKI
tt10092752,La terre et le sang,2020,80,Action,"['Sami Bouajila', 'Eriq Ebouaney', 'Samy Seghir']","['Saïd', 'Adama', 'Yanis']",Julien Leclercq,5.2,2958.0,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,12.913,/23S0NEXXOMhhXhF566Pw5sx7hnZ.jpg,"Après plusieurs années à la tête d'une scierie dans les Ardennes où il emploie d'anciens détenus et délinquants, Said a la mauvaise surprise de voir débarquer un cartel.",https://www.youtube.com/watch?v=zCLwg7KCFcI,zCLwg7KCFcI
tt10123698,Miss,2020,107,Comedy,"['Alexandre Wetter', 'Pascale Arbillot', 'Isabelle Nanty']","['Alex Dufresnoy', 'Amanda', 'Yolande']",Ruben Alves,6.4,1016.0,A young man seeking his sexual identity decides to take part in the Miss France beauty pageant.,5.732,/fAXgta3EKncuvZeZFjT47GnVqi0.jpg,"Alex, petit garçon gracieux de 9 ans qui navigue joyeusement entre les genres, a un rêve : être un jour élu Miss France. 15 ans plus tard, Alex a perdu ses parents et sa confiance en lui et stagne dans une vie monotone. Une rencontre imprévue va réveiller ce rêve oublié. Alex décide alors de concourir à Miss France en cachant son identité de garçon. Beauté, excellence, camaraderie… Au gré des étapes d’un concours sans merci, aidé par une famille de cœur haute en couleurs, Alex va partir à la conquête du titre, de sa féminité et surtout, de lui-même…",https://www.youtube.com/watch?v=2ssRACqoE70,2ssRACqoE70
tt10127684,Bronx,2020,116,Action,"['Lannick Gautry', 'Lannick Gautry', 'Stanislas Merhar']","['Richard', 'Anti-gang cop', 'Willy']",Olivier Marchal,6.1,10222.0,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",12.838,/9HT9982bzgN5on1sLRmc1GMn6ZC.jpg,"Pris entre la corruption policière et la guerre des gangs de Marseille, un flic prend les choses en main afin de protéger son équipe.",https://www.youtube.com/watch?v=LTt-hVUzSJI,LTt-hVUzSJI
tt10143308,Tout nous sourit,2020,101,Comedy,"['Elsa Zylberstein', 'Stéphane De Groodt', 'Guy Marchand']","['Audrey Pottier', 'Jérôme Pottier', 'Henri Pottier']",Mélissa Drigeard,5.4,371.0,"The members of an apparently happy couple, each with their respective lovers, have the same idea: spending the weekend at their holiday home. Finding each other there is only the beginning of an awkward and hilarious weekend.",2.68,/uyZG3WYk3oUqbRYunL92N8MFzZT.jpg,"Tout sourit à Audrey et Jérôme. Ils ont trois merveilleux enfants et leurs métiers les passionnent. Le temps d’un week-end, ils partent chacun de leur côté... Avec leurs amants respectifs. Sauf qu’ils ont la même idée : aller dans leur maison de campagne. Quand ils se retrouvent nez à nez, c'est l'explosion. Arrivent alors les parents d’Audrey, puis leurs enfants et enfin sa sœur. Le quatuor n’a pas d’autre choix que jouer la comédie pour sauver les apparences. Mais très vite le vernis et les nerfs craquent...",https://www.youtube.com/watch?v=MmMTCKiipOI,MmMTCKiipOI
tt10233406,Les blagues de Toto,2020,84,Comedy,"['Gavril Dartevelle', 'Guillaume de Tonquédec', 'Anne Marivin']","['Toto', 'Jérôme, le papa de Toto', 'Sylvie, la maman de Toto']",Pascal Bourdiaux,4.0,190.0,"Back-to-school! For troublemaker Toto, it’s the best playground for fooling around. When a sculpture collapses during the opening of a museum, Toto is immediately blamed.  To prove his innocence, Toto has no other option but making a pact with Igor, the school nerd. In exchange for his help, Toto will help Igor being cool.  The unlikely duo turns into little detectives. A fun and exciting adventure begins…",3.014,/4tZzPJHuszU7SxcqYTh7KH6cwBW.jpg,"A l’école, Toto est bien plus doué pour faire rire ses copains qu’écouter les leçons de la maîtresse. Avec ses parents aussi, les blagues de Toto se transforment souvent en catastrophes… La dernière en date ? La chute d’une sculpture pendant un évènement organisé par le patron de son père. Mais cette fois-ci, Toto assure qu’il est innocent et refuse d’être accusé d’une bêtise que pour une fois, il n’a pas faite ! Avec ses meilleurs amis, il va mener l’enquête.",https://www.youtube.com/watch?v=oZThB7gPKIk,oZThB7gPKIk
tt10251538,10 jours sans maman,2020,104,Comedy,"['Franck Dubosc', 'Aure Atika', 'Alice David']","['Antoine Mercier', 'Isabelle Mercier', 'Julia']",Ludovic Bernard,5.4,1297.0,"Antoine is the Head of HR of a big company. Managing people is his thing, so when his overwhelmed wife suddenly decides to go on holiday and leave him with the responsibility of the house and their four kids, he knows it will be a piece of cake for him. But Antoine has drastically underestimated the mess that four mischievous kids can cause...",7.75,/xEbSztKAAwIljX8A537HeZDKXUS.jpg,"Antoine, DRH d'une grande enseigne de bricolage, est en passe de devenir le numéro 1 de sa boîte. C'est le moment que choisit sa femme, Isabelle, pour faire une pause et prendre l'air quelques jours pour s'occuper d'elle. Antoine se retrouve alors seul à devoir gérer la maison et leur quatre enfants. Il est vite dépassé par les événements !",https://www.youtube.com/watch?v=uK4kF5Wa20U,uK4kF5Wa20U
tt10341040,Around the World in 80 Days,2021,82,Comedy,"['Damien Frette', 'Julien Crampon', 'Kaycie Chase']","['Philéas', 'Passepartout', 'Aouda']",Samuel Tourneux,4.7,996.0,"Passepartout is a young and scholarly marmoset who always dreams of becoming an explorer. One day, he crosses paths with Phileas, a reckless and greedy frog, eager to take on a bet to circumnavigate the globe in 80 days and earn 10 million clams in the process. Seizing the opportunity of a lifetime to explore the world, Passepartout embarks with his new friend on a crazy and exhilarating adventure full of twists and surprises.",8.193,/pWPTnHtvlmggjGonie1VZNKViLV.jpg,"Passepartout, un ouistiti naïf mais plein d’entrain, rêve de partir à l’aventure depuis toujours. L’occasion se présente sous la forme de Phileas Frog, un explorateur vanneur et arnaqueur, et d’un pari à plusieurs millions : établir le nouveau record du tour du monde en 80 jours. De déserts brûlants en jungles mystérieuses, de princesses intrépides en criquets adorateurs de volcans, Passepartout va découvrir à quel point le monde est vaste, merveilleux et dingo.",https://www.youtube.com/watch?v=zFK1ARoPMd4,zFK1ARoPMd4
tt10345590,Comment je suis devenu super-héros,2020,97,"Action,Comedy","['Pio Marmaï', 'Pio Marmaï', 'Vimala Pons']","['Moreau', 'Titan', 'Schaltzmann']",Douglas Attal,5.8,6279.0,"Paris 2020. While superheroes have assimilated into the Parisian society, they discover a new drug that gives themselves personal superpowers to mere mortals. Lieutenants Moreau and Schaltzmann are investigating the case with the support of two ex-superheroes, Monte Carlo and Callista. They'll do whatever it takes to dismantle the traffic. But Moreau's past resurfaces, and the investigation becomes more complicated.",24.876,/d0wn9YtEnmbucx8ZUsT918ctoiK.jpg,"Paris 2020. Dans une société où les surhommes sont banalisés et parfaitement intégrés, une mystérieuse substance procurant des super-pouvoirs à ceux qui n’en ont pas se répand. Face aux incidents qui se multiplient, les lieutenants Moreau et Schaltzmann sont chargés de l’enquête. Avec l’aide de Monté Carlo et Callista, deux anciens justiciers, ils feront tout pour démanteler le trafic. Mais le passé de Moreau ressurgit, et l’enquête se complique...",https://www.youtube.com/watch?v=6iQMpin-9U8,6iQMpin-9U8
tt10366428,Le sens de la famille,2020,100,Comedy,"['Franck Dubosc', 'Alexandra Lamy', 'Christiane Millet']","['Alain', 'Sophie', 'Mamie Thérèse']",Jean-Patrick Benes,6.0,1032.0,"Husband does not understand his wife? Conflict with children? Do you want to be heard and stood in your place? Be afraid of your desires. In this family, everything changed places, including grandmother.",14.555,/qXeJkpKnG5wl2UqnudHapIEjyaY.jpg,"Un matin, les Morel se réveillent avec un gros problème. Ils découvrent que l'esprit de chacun est coincé dans le corps d’un autre membre de la famille ! Chacha, 6 ans, est dans le corps de Papa, Papa dans le corps de son ado de fils, le fils dans le corps de la grande sœur, la grande sœur dans le corps de la mère, et la mère dans le corps de Chacha…. Vous n’avez pas suivi ? Eux non plus. Et ce n’est que le début.",https://www.youtube.com/watch?v=9OghiUt2gV4,9OghiUt2gV4
