id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr,trailer_url,video_id,index_original
tt10340360,La Chose derrière la porte,2023,81,"['Drama', 'Fantasy', 'Horror']","['Séverine Ferrer', 'David Doukhan', 'Clémence Verniau']","['Adèle', 'Jean', 'La paysanne']",['Fabrice Blin'],4.3,138.0,"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",1.446,/iFqHmF8ZSY9jOhstqeRxuzxPkFp.jpg,"France, 1917, Adèle, une jeune paysanne vivant seule dans une ferme isolée, est littéralement hantée par la mort de son mari, tué au front au début de la Première Guerre Mondiale.  Désespérée et incapable de surmonter la douleur provoquée par cette perte tragique, la jeune femme a finalement recours à la magie noire, dans l’espoir de faire « revenir » son bien-aimé.  Le miracle aura bien lieu, mais Adèle va payer très cher l’ouverture de cette véritable boîte de Pandore…",,,0
tt10675724,La nuée,2020,101,"['Drama', 'Horror']","['Suliane Brahim', 'Sofian Khammes', 'Marie Narbonne']","['Virginie Hébrard', 'Karim', 'Laura Hébrard']",['Just Philippot'],5.3,8262.0,A single mother breeds locusts as high-protein foods but has trouble getting them to reproduce until she finds they have a taste for blood.,8.372,/A734mQnqdLfraDMJ2Ad1lyE8wwP.jpg,"Difficile pour Virginie de concilier sa vie d’agricultrice avec celle de mère célibataire. Pour sauver sa ferme de la faillite, elle se lance à corps perdu dans le business des sauterelles comestibles. Mais peu à peu, ses enfants ne la reconnaissent plus : Virginie semble développer un étrange lien obsessionnel avec ses sauterelles...",https://www.youtube.com/watch?v=ZgdxOvoHhGc,ZgdxOvoHhGc,1
tt10756184,Saloum,2021,84,"['Action', 'Horror', 'Thriller']","['Yann Gael', 'Evelyne Ily Juhen', 'Roger Sallah']","['Chaka', 'Awa', 'Rafa']",['Jean Luc Herbulot'],6.2,3054.0,"Three mercenaries extracting a druglord out of Guinea-Bissau are forced to hide in the mystical region of Saloum, Senegal.",2.715,/rnFHsJwmIGYEDu142XcNyHnTPdg.jpg,"Trois mercenaires extrayant un baron de la drogue de Guinée-Bissau sont obligés de se cacher dans la région mystique du Saloum, au Sénégal.",https://www.youtube.com/watch?v=klP2POKyDLk,klP2POKyDLk,2
tt10916810,Megalomaniac,2022,105,['Horror'],"['Eline Schumacher', 'Benjamin Ramon', 'Hélène Moor']","['Martha', 'Félix', 'Julie']",['Karim Ouelhaj'],5.5,1290.0,"Felix and Martha, the two offspring of legendary serial murderer The Skinner of Mons, grapple with the grotesque legacy bequeathed to them. While Martha works a menial janitorial job, Felix continues his father's reign of terror. But following a brutal attack at work, Martha quickly descends into madness, finding she must come to terms with the infamous blood that flows through her veins.",1.931,/bgullymFFblfNaEqRX2j74oTIQ.jpg,"Félix et Martha sont les enfants d’un terrible tueur en série belge, le Dépeceur de Mons. Si le premier s’accomplit en perpétuant l’œuvre du père, la seconde devra se résoudre à la violence après une agression sur son lieu de travail.",https://www.youtube.com/watch?v=DBURB3emov8,DBURB3emov8,3
tt10944760,Titane,2021,108,"['Drama', 'Horror', 'Sci-Fi']","['Vincent Lindon', 'Agathe Rousselle', 'Agathe Rousselle']","['Vincent', 'Alexia', 'Adrien']",['Julia Ducournau'],6.5,60261.0,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",46.581,/pbDVekok28QYYitnfARUWJ57D3I.jpg,"Après une série de crimes inexpliqués, un père retrouve son fils disparu depuis 10 ans. Titane : métal hautement résistant à la chaleur et à la corrosion, donnant des alliages très durs.",https://www.youtube.com/watch?v=wYoCQRuJ4v8,wYoCQRuJ4v8,4
tt11422136,Messe basse,2020,90,"['Fantasy', 'Horror', 'Thriller']","['Alice Isaaz', 'Jacqueline Bisset', 'François-Dominique Blin']","['Julie Moreau', 'Elizabeth Dardelin', 'Victor Dardelin']",['Baptiste Drapeau'],5.4,214.0,"Julie just started university in Bordeaux. She moves into the house of Elizabeth, an old widow who lends her a room in exchange for her help with daily chores. There’s one condition: acting as if Victor, Elizabeth’s dead husband, was still alive. But soon, Julie starts feeling his presence… and an inescapable and dangerous love triangle begins.",2.516,/35iyoI248BJ4s1j7lxzI0hU1C1c.jpg,"Dans une grande maison bourgeoise, deux femmes, une veuve et une étudiante, se disputent l’amour d’un homme disparu jusqu’à sombrer dans la folie.",https://www.youtube.com/watch?v=BuGDDGdgqsM,BuGDDGdgqsM,5
tt12128038,Hors du monde,2020,90,"['Horror', 'Thriller']","['Kévin Mischel', 'Aurélia Poirier', 'Aurélia Poirier']","['Léo', 'Amélie', 'Hélène']",['Marc Fouchard'],4.8,183.0,"Léo, a very shy man, is having trouble communicating with others. Only music makes him alive and more open-minded. He cannot afford to live over his music, therefore he works as a taxi driver and lives in his own car. One day, Léo drives Amélie a deaf dancer. Léo seems charmed and Amélie is attracted to him. But Leo is hiding a dark and deadly secret…",1.392,/brP1Yl1JBZhZj408FCrbklJkHbT.jpg,"Léo est chauffeur et vit seul dans sa voiture. Il ne s'ouvre au monde qu'à travers sa musique. Un jour, Léo conduit Amélie, une cliente pas comme les autres, danseuse et sourde et pourtant réceptive aux compositions qu’il passe dans sa berline. Léo semble séduit par cette femme, comme lui, hors du monde. Amélie aussi est attirée par le sombre Léo. Mais ce qu’elle ignore, c’est que Léo est un terrible prédateur.",,,6
tt12496706,Le calendrier,2021,104,"['Horror', 'Thriller']","['Eugénie Derouand', 'Honorine Magnier', 'Clément Olivieri']","['Eva', 'Sophie', 'William']",['Patrick Ridremont'],6.3,6621.0,"Eva, an ex-dancer, is now living in a wheelchair, unable to walk. When her friend Sophie gives her an old wooden antique advent calendar before Christmas, she realizes each window contains a surprise that triggers repercussions in real life: some of them good, but most of them bad... Now Eva will have to choose between getting rid of the calendar or walking again… even if it causes death around her.",8.727,/psaYUHDotafhVNAE1pZN2GkRXJY.jpg,"Eva est paraplégique depuis trois ans. Pour son anniversaire, elle reçoit en cadeau un étrange calendrier de l’Avent. Mais ce ne sont pas les traditionnelles friandises qu’elle découvre chaque jour, mais des surprises plus inquiétantes, parfois agréables, souvent terrifiantes, et de plus en plus sanglantes. Cette année, Noël va être mortel !",https://www.youtube.com/watch?v=hYn7-6a2K1E,hYn7-6a2K1E,7
tt12887770,Barbaque,2021,87,"['Comedy', 'Horror']","['Marina Foïs', 'Fabrice Eboué', 'Jean-François Cayrey']","['Sophie Pascal', 'Vincent Pascal', 'Marc Brachard']",['Fabrice Eboué'],6.6,4166.0,"Sophie and Vincent’s small butcher shop is on the brink of bankruptcy and their marriage is falling apart. Their lives are turned upside down when Vincent accidentally kills a vegan activist who vandalized their shop. Overwhelmed and terrified of being accused of murder, their only solution is to get rid of the body by turning it into ham. To their surprise the ham is so popular that it may save their business… that is if they’re ready to keep “hunting""!",12.483,/p8phJ1JPAe0xSNBRwLyXE6KgKzX.jpg,"Vincent et Sophie sont bouchers. Leur commerce, tout comme leur couple, est en crise. Mais tout va basculer le jour où Vincent tue accidentellement un végan militant qui a saccagé leur boucherie... Pour se débarrasser du corps, il en fait un jambon que sa femme va vendre par mégarde. Jamais jambon n'avait connu tel succès ! L'idée de recommencer pourrait bien les titiller...",https://www.youtube.com/watch?v=i5baI4qD6ac,i5baI4qD6ac,8
tt12942974,2011,2020,89,"['Horror', 'Thriller']","['Marie-Emmanuelle Boileau', 'Catherine Chabot', 'Hugolin Chevrette-Landesque']","['Anna the Psychologist', 'Charlotte the Nurse', 'Hugo the Director']",['Alexandre Prieur-Grenier'],5.5,19.0,"Independent production and very free artistically, the film will lock you in the apartment of an editor, while the latter goes crazy while finishing the assembly of a film.",0.6,/2o7g79n9sYHOmD4rUpdMD6utkae.jpg,,,,9
