tconst,originalTitle,startYear,runtimeMinutes,genres,nconst,actorName,ordering,characters,directorName,averageRating,numVotes,budget_x,imdb_id_x,original_title_x,overview_x,popularity_x,poster_path_x,production_countries_x,release_date_x,revenue_x,runtime_x,spoken_languages_x,title_x,vote_average_x,vote_count_x,production_companies_name_x,production_companies_country_x,budget_y,imdb_id_y,original_title_y,overview_y,popularity_y,poster_path_y,production_countries_y,release_date_y,revenue_y,runtime_y,spoken_languages_y,title_y,vote_average_y,vote_count_y,production_companies_name_y,production_companies_country_y
tt10019108,Villa Caprice,2020,103,"Crime,Drama",nm0034390,Niels Arestrup,1,"[""Luc Germon""]",Bernard Stora,5.8,403.0,0,tt10019108,Villa Caprice,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"['BE', 'FR']",2021-06-02,0,103,['fr'],Villa Caprice,5.625,36,"['JPG Films', 'uMedia', 'uFund', 'Bac Films']","['FR', 'BE', 'BE', 'FR']",0,tt10019108,Villa Caprice,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"['BE', 'FR']",2021-06-02,0,103,['fr'],Villa Caprice,5.625,36,"['JPG Films', 'uMedia', 'uFund', 'Bac Films']","['FR', 'BE', 'BE', 'FR']"
tt10019108,Villa Caprice,2020,103,"Crime,Drama",nm0115730,Patrick Bruel,2,"[""Gilles Fontaine""]",Bernard Stora,5.8,403.0,0,tt10019108,Villa Caprice,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"['BE', 'FR']",2021-06-02,0,103,['fr'],Villa Caprice,5.625,36,"['JPG Films', 'uMedia', 'uFund', 'Bac Films']","['FR', 'BE', 'BE', 'FR']",0,tt10019108,Villa Caprice,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"['BE', 'FR']",2021-06-02,0,103,['fr'],Villa Caprice,5.625,36,"['JPG Films', 'uMedia', 'uFund', 'Bac Films']","['FR', 'BE', 'BE', 'FR']"
tt10019108,Villa Caprice,2020,103,"Crime,Drama",nm0001393,Irène Jacob,3,"[""Nancy Fontaine""]",Bernard Stora,5.8,403.0,0,tt10019108,Villa Caprice,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"['BE', 'FR']",2021-06-02,0,103,['fr'],Villa Caprice,5.625,36,"['JPG Films', 'uMedia', 'uFund', 'Bac Films']","['FR', 'BE', 'BE', 'FR']",0,tt10019108,Villa Caprice,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"['BE', 'FR']",2021-06-02,0,103,['fr'],Villa Caprice,5.625,36,"['JPG Films', 'uMedia', 'uFund', 'Bac Films']","['FR', 'BE', 'BE', 'FR']"
tt10023150,Mon cousin,2020,104,Comedy,nm0512071,Vincent Lindon,1,"[""Pierre Pastié""]",Jan Kounen,5.3,706.0,10854516,tt10023150,Mon Cousin,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,['FR'],2020-09-30,2982559,107,['fr'],My Cousin,5.5,90,"['Eskwad', 'TF1 Films Production', 'uMedia', 'uFund']","['FR', 'FR', 'BE', 'BE']",10854516,tt10023150,Mon Cousin,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,['FR'],2020-09-30,2982559,107,['fr'],My Cousin,5.5,90,"['Eskwad', 'TF1 Films Production', 'uMedia', 'uFund']","['FR', 'FR', 'BE', 'BE']"
tt10023150,Mon cousin,2020,104,Comedy,nm12571544,Matei Dussarps,2,"[""Adrien jeune""]",Jan Kounen,5.3,706.0,10854516,tt10023150,Mon Cousin,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,['FR'],2020-09-30,2982559,107,['fr'],My Cousin,5.5,90,"['Eskwad', 'TF1 Films Production', 'uMedia', 'uFund']","['FR', 'FR', 'BE', 'BE']",10854516,tt10023150,Mon Cousin,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,['FR'],2020-09-30,2982559,107,['fr'],My Cousin,5.5,90,"['Eskwad', 'TF1 Films Production', 'uMedia', 'uFund']","['FR', 'FR', 'BE', 'BE']"
tt10023150,Mon cousin,2020,104,Comedy,nm0033389,Pascale Arbillot,3,"[""Olivia Pastié""]",Jan Kounen,5.3,706.0,10854516,tt10023150,Mon Cousin,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,['FR'],2020-09-30,2982559,107,['fr'],My Cousin,5.5,90,"['Eskwad', 'TF1 Films Production', 'uMedia', 'uFund']","['FR', 'FR', 'BE', 'BE']",10854516,tt10023150,Mon Cousin,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,['FR'],2020-09-30,2982559,107,['fr'],My Cousin,5.5,90,"['Eskwad', 'TF1 Films Production', 'uMedia', 'uFund']","['FR', 'FR', 'BE', 'BE']"
tt10023172,Passion simple,2020,99,"Drama,Romance",nm3270435,Laetitia Dosch,1,"[""Hélène""]",Danielle Arbid,5.4,1244.0,0,tt10023172,Passion simple,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"['BE', 'FR']",2021-01-14,75167,99,"['en', 'fr']",Simple Passion,4.9,36,"['Les Films Pelléas', 'Versus Production']","['FR', 'BE']",0,tt10023172,Passion simple,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"['BE', 'FR']",2021-01-14,75167,99,"['en', 'fr']",Simple Passion,4.9,36,"['Les Films Pelléas', 'Versus Production']","['FR', 'BE']"
tt10023172,Passion simple,2020,99,"Drama,Romance",nm4431536,Sergei Polunin,2,"[""Alexandre""]",Danielle Arbid,5.4,1244.0,0,tt10023172,Passion simple,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"['BE', 'FR']",2021-01-14,75167,99,"['en', 'fr']",Simple Passion,4.9,36,"['Les Films Pelléas', 'Versus Production']","['FR', 'BE']",0,tt10023172,Passion simple,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"['BE', 'FR']",2021-01-14,75167,99,"['en', 'fr']",Simple Passion,4.9,36,"['Les Films Pelléas', 'Versus Production']","['FR', 'BE']"
tt10023172,Passion simple,2020,99,"Drama,Romance",nm8722462,Lou-Teymour Thion,3,"[""Paul""]",Danielle Arbid,5.4,1244.0,0,tt10023172,Passion simple,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"['BE', 'FR']",2021-01-14,75167,99,"['en', 'fr']",Simple Passion,4.9,36,"['Les Films Pelléas', 'Versus Production']","['FR', 'BE']",0,tt10023172,Passion simple,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"['BE', 'FR']",2021-01-14,75167,99,"['en', 'fr']",Simple Passion,4.9,36,"['Les Films Pelléas', 'Versus Production']","['FR', 'BE']"
tt10081788,L'oiseau de paradis,2020,89,Drama,nm0773308,Sebastian Urzendowsky,1,"[""Teivi""]",Paul Manate,5.2,27.0,0,tt10081788,L'Oiseau de paradis,"While Teivi is just a typical ambitious young man from the Tahitian golden youth, his distant cousin, Yasmina, is a full-blooded Maori owner of a mysterious gift that isolates her from the world. When  their paths clash, she will determinedly give full vent to her hided magic powers.",1.359,/bFb8rrph39j9lHK0vyevfDA4Zyk.jpg,['FR'],2020-10-02,0,89,"['fr', 'ty']",Paradise,0.0,0,['Local Films'],['FR'],0,tt10081788,L'Oiseau de paradis,"While Teivi is just a typical ambitious young man from the Tahitian golden youth, his distant cousin, Yasmina, is a full-blooded Maori owner of a mysterious gift that isolates her from the world. When  their paths clash, she will determinedly give full vent to her hided magic powers.",1.359,/bFb8rrph39j9lHK0vyevfDA4Zyk.jpg,['FR'],2020-10-02,0,89,"['fr', 'ty']",Paradise,0.0,0,['Local Films'],['FR']
