id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr
tt10019108,Villa Caprice,2020,103,"Crime,Drama","['Niels Arestrup', 'Patrick Bruel', 'Irène Jacob']","['Luc Germon', 'Gilles Fontaine', 'Nancy Fontaine']",Bernard Stora,5.8,403.0,"Famous lawyer, Luc Germon adds Gilles Fontaine, one of the most powerful bosses in France, to his clients. He is suspected of having acquired a magnificent property, Villa Caprice, under questionable conditions.",4.713,/ka3xS8EVSEYtESJnROIxHKgwa2M.jpg,"Avocat célèbre, Luc Germon pense atteindre la consécration lorsque Gilles Fontaine, l'un des patrons les plus puissants de France, lui demande de prendre sa défense. L’homme d’affaires est soupçonné d'avoir acquis dans des conditions douteuses une magnifique propriété sur la Côte d'Azur, la Villa Caprice. Humilié et furieux de s'être laissé piéger, Fontaine compte sur l'habileté de Germon pour le tirer de ce mauvais pas. Mais une étrange relation de pouvoir s'installe bientôt entre les deux hommes, en principe alliés. Qui prendra l'avantage ?"
tt10023150,Mon cousin,2020,104,Comedy,"['Vincent Lindon', 'Matei Dussarps', 'Pascale Arbillot']","['Pierre Pastié', 'Adrien jeune', 'Olivia Pastié']",Jan Kounen,5.3,706.0,"Pierre is the highly successful CEO of a large family-owned company. Before signing the deal of the century, he has to settle one last formality: obtain the signature of his cousin Adrien who owns 50% of his firm. This sweet, idealistic dreamer, who makes one blunder after another, is so happy to see Pierre again that he wants to spend time with him and delay the moment of signing. So Pierre has no choice but to take his cousin with him on a turbulent business trip during which his patience will be put to the test.",4.697,/wRGGPn8iukAYqCwbqMyw60DH6KV.jpg,"Pierre est le PDG du groupe Pastié qui réunit les plus grandes marques internationales d’alcool mais aussi de grands crus classés. Comme tous les cinq ans, il doit renouveler chez le notaire le contrat qui le lie à son cousin Adrien. Un cousin qu’il ne supporte pas parce que ce dernier malgré lui enchaîne les maladresses et les gaffes qui risquent une fois de plus de mettre la société en péril ! Mais cette fois-ci les choses vont mal tourner... Sur le ton de la comédie les deux cousins aux tempéraments extraordinairement opposés vont se retrouver embarqués dans une aventure rocambolesque jusque dans les luxueux vignobles du Bordelais où, face à l’adversité, ils vont finir par se réconcilier."
tt10023172,Passion simple,2020,99,"Drama,Romance","['Laetitia Dosch', 'Sergei Polunin', 'Lou-Teymour Thion']","['Hélène', 'Alexandre', 'Paul']",Danielle Arbid,5.4,1244.0,"A man and a woman are brought together by chance for several months. He is younger than she is, married, Russian, officially a diplomat stationed in Paris. She is a beautiful teacher and researcher, with her feet firmly on the ground. The film follows the evolution of their love, from the beginning to end.",36.549,/ezSCLw2xy2OqL63Dx7zoHlj177v.jpg,"Un homme et une femme sont amenés à se retrouver en banlieue parisienne pendant plusieurs mois. Le film suit l’évolution de leur amour, du début à la fin."
tt10081788,L'oiseau de paradis,2020,89,Drama,"['Sebastian Urzendowsky', 'Blanche-Neige Huri', 'Patrick Descamps']","['Teivi', 'Yasmina', 'Député Gilot']",Paul Manate,5.2,27.0,"While Teivi is just a typical ambitious young man from the Tahitian golden youth, his distant cousin, Yasmina, is a full-blooded Maori owner of a mysterious gift that isolates her from the world. When  their paths clash, she will determinedly give full vent to her hided magic powers.",1.359,/bFb8rrph39j9lHK0vyevfDA4Zyk.jpg,"Jeune assistant parlementaire métis, amoral et séducteur, Teivi revoit un jour Yasmina, une lointaine cousine maorie aux pouvoirs mystiques, qui lui fait une étrange prédiction. Mais en proie à des malaises hallucinatoires et empêtré dans une affaire de corruption immobilière, Teivi perd pied.  Persuadé que Yasmina peut le guérir, il part à sa recherche et chemine jusqu’à la presqu’île fantasmagorique de Tahiti.  L’Oiseau de paradis raconte un Tahiti intime et légendaire, métis et vivant. Un conte mystique et contemporain sur le plus beau des paradis perdus."
tt10088984,Ouistreham,2021,106,Drama,"['Juliette Binoche', 'Louise Pociecka', 'Steve Papagiannis']","['Marianne Winckler', 'Louise', 'Steve']",Emmanuel Carrère,6.9,2567.0,"Marianne Winckler, a well-known author, goes to live in northern France to research for her new book on the subject of job insecurity. Without revealing her true identity, she gets hired as a cleaner, working with a group of other women. In this new role, she experiences financial instability and social invisibility first-hand. But she also discovers mutual assistance and solidarity, strong bonds shared by these behind-the-scenes working women.",6.928,/rBxKNyi3G9Huws52hjVdIdVkfrI.jpg,"Marianne Winckler, une écrivaine connue, décide d’écrire un livre sur le travail précaire en vivant concrètement cette réalité. Elle se retrouve femme de ménage et découvre la vie à quelques euros près, la condition d’invisible de la société. C’est une épreuve, mais pas seulement, car au fil de son immersion elle noue des vrais liens, des liens chaleureux et même joyeux avec quelques-unes de ses compagnes de galère."
tt10092752,La terre et le sang,2020,80,"Action,Drama,Thriller","['Sami Bouajila', 'Eriq Ebouaney', 'Samy Seghir']","['Saïd', 'Adama', 'Yanis']",Julien Leclercq,5.2,2958.0,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,12.913,/23S0NEXXOMhhXhF566Pw5sx7hnZ.jpg,"Après plusieurs années à la tête d'une scierie dans les Ardennes où il emploie d'anciens détenus et délinquants, Said a la mauvaise surprise de voir débarquer un cartel."
tt10098442,L'autre,2020,77,Drama,"['Astrid Bergès-Frisbey', 'James Thierrée', 'Anouk Grinberg']","['Marie', 'Paul', 'Marie']",Charlotte Dauphin,6.1,69.0,An intimate portrait of a woman's mental confrontation and drifting between dream and reality after experiencing loss.,0.882,/CCoQz61ZKCXMeb39XOduBDqfBx.jpg,"Marie est une jeune danseuse de l’Opéra de Paris. Après la mort brutale de son père le jour de son trentième anniversaire, elle décide d’arrêter sa pratique artistique et poursuit une existence de plus en plus recluse. Son deuil enferme Marie dans ses souvenirs, à travers les écrits mystérieux laissés par son père, ses pensées, et une maison qui semble l’emprisonner. Son amour pour Paul, un photographe qui a pris le dernier portrait de son père quelques minutes avant sa mort, va peu à peu éveiller en Marie une force vitale qui va l’aider à devenir une autre version d’elle-même."
tt10098452,Animals,2021,91,"Crime,Drama","['Soufiane Chilah', 'Gianni Guettaf', 'Vincent Overath']","['Brahim', 'Loïc', 'Geoffroy']",Nabil Ben Yadir,6.5,731.0,"Brahim is a young man, and secretly gay. At his mother’s birthday party, tensions around his unaccepted sexuality become unbearable. Brahim flees the oppressive family home into the night, where a terrible encounter awaits...",2.047,/taNO8ww04C8M4IMVbZDOjutNoD8.jpg,"Brahim est un jeune homme, la joie de vivre de sa mère. Un jour il trouvera l'amour de sa vie. il deviendra père de famille et les rendra tous fiers. Un jour, il sera mûr et comblé. Un jour ..."
tt10123698,Miss,2020,107,"Comedy,Drama","['Alexandre Wetter', 'Pascale Arbillot', 'Isabelle Nanty']","['Alex Dufresnoy', 'Amanda', 'Yolande']",Ruben Alves,6.4,1016.0,A young man seeking his sexual identity decides to take part in the Miss France beauty pageant.,5.732,/fAXgta3EKncuvZeZFjT47GnVqi0.jpg,"Alex, petit garçon gracieux de 9 ans qui navigue joyeusement entre les genres, a un rêve : être un jour élu Miss France. 15 ans plus tard, Alex a perdu ses parents et sa confiance en lui et stagne dans une vie monotone. Une rencontre imprévue va réveiller ce rêve oublié. Alex décide alors de concourir à Miss France en cachant son identité de garçon. Beauté, excellence, camaraderie… Au gré des étapes d’un concours sans merci, aidé par une famille de cœur haute en couleurs, Alex va partir à la conquête du titre, de sa féminité et surtout, de lui-même…"
tt10127684,Bronx,2020,116,"Action,Crime,Drama","['Lannick Gautry', 'Lannick Gautry', 'Stanislas Merhar']","['Richard', 'Anti-gang cop', 'Willy']",Olivier Marchal,6.1,10222.0,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",12.838,/9HT9982bzgN5on1sLRmc1GMn6ZC.jpg,"Pris entre la corruption policière et la guerre des gangs de Marseille, un flic prend les choses en main afin de protéger son équipe."
tt10132976,Le sel des larmes,2020,100,"Drama,Romance","['Logann Antuofermo', 'Oulaya Amamra', 'André Wilms']","['Luc', 'Djemila', 'Le père de Luc']",Philippe Garrel,6.1,936.0,"Luc travels to Paris for the first time to sit the entrance exam for a carpentry school. There he meets Djemila, a young worker with whom he enjoys a short romance, before returning to his home town and beginning a relationship with Geneviève, whom he has known since childhood. Caught between two passions, Luc runs, resolving to fulfil his father's dreams by devoting himself to his future... until finally, he experiences true love.",2.699,/verxtmnSu890aWcTXCZJZ5TjVmm.jpg,"Les premières conquêtes féminines d’un jeune homme et la passion qu’il a pour son père.  C’est l’histoire d’un jeune provincial, Luc qui monte à Paris pour passer le concours d’entrée à l’école Boulle. Dans la rue, Il y rencontre Djemila avec qui il vit une aventure.  De retour chez son père, le jeune homme retrouve sa petite amie Geneviève alors que Djemila nourrit l’espoir de le revoir.  Quand Luc est reçu à l’école Boulle, il s’en va pour Paris abandonnant derrière lui sa petite amie et l’enfant qu’elle porte…"
tt10143308,Tout nous sourit,2020,101,Comedy,"['Elsa Zylberstein', 'Stéphane De Groodt', 'Guy Marchand']","['Audrey Pottier', 'Jérôme Pottier', 'Henri Pottier']",Mélissa Drigeard,5.4,371.0,"The members of an apparently happy couple, each with their respective lovers, have the same idea: spending the weekend at their holiday home. Finding each other there is only the beginning of an awkward and hilarious weekend.",2.68,/uyZG3WYk3oUqbRYunL92N8MFzZT.jpg,"Tout sourit à Audrey et Jérôme. Ils ont trois merveilleux enfants et leurs métiers les passionnent. Le temps d’un week-end, ils partent chacun de leur côté... Avec leurs amants respectifs. Sauf qu’ils ont la même idée : aller dans leur maison de campagne. Quand ils se retrouvent nez à nez, c'est l'explosion. Arrivent alors les parents d’Audrey, puis leurs enfants et enfin sa sœur. Le quatuor n’a pas d’autre choix que jouer la comédie pour sauver les apparences. Mais très vite le vernis et les nerfs craquent..."
tt10196108,Eugénie Grandet,2021,103,Drama,"['Joséphine Japy', 'Olivier Gourmet', 'Valérie Bonneton']","['Eugénie Grandet', 'Félix Grandet', 'Madame Grandet']",Marc Dugain,6.3,368.0,"Felix Grandet reigns supreme in his modest house in Saumur where his wife and daughter Eugenie lead a distraction-free existence. Extremely avaricious, he does not take a favorable view of the beautiful parties who rush to ask for his daughter's hand. Nothing should damage the colossal fortune he hides from everyone. The sudden arrival of Grandet's nephew, an orphaned and ruined Parisian dandy, turns the young girl's life upside down.",3.063,/pC5QyM5vjKnjsj1WP9Ur766X3S0.jpg,"Felix Grandet règne en maître dans sa modeste maison de Saumur où sa femme et sa fille Eugénie, mènent une existence sans distraction. D’une avarice extraordinaire, il ne voit pas d’un bon œil les beaux partis qui se pressent pour demander la main de sa fille. Rien ne doit entamer la fortune colossale qu’il cache à tous. L’arrivée soudaine du neveu de Grandet, un dandy parisien orphelin et ruiné, bouleverse la vie de la jeune fille. L’amour et la générosité d’Eugénie à l’égard de son cousin va plonger le Père Grandet dans une rage sans limite. Confronté à sa fille, il sera plus que jamais prêt à tout sacrifier sur l’autel du profit, même sa propre famille..."
tt10196398,Adieu les cons,2020,87,"Comedy,Drama","['Virginie Efira', 'Albert Dupontel', 'Nicolas Marié']","['Suze Trappet', 'Jean-Baptiste Cuchas', 'Serge Blin']",Albert Dupontel,6.7,7224.0,"When 43-year-old hairdresser Suze Trappet finds out that she's seriously ill, she decides to go looking for a child she was forced to abandon when she was only 15. On her madcap bureaucratic quest she crosses paths with JB, a 50-year-old man in the middle of a burnout, and Mr. Blin, a blind archivist prone to overenthusiasm. The unlikely trio set off on a hilarious and poignant helterskelter journey across the city in search of Suze's long-lost child.",8.614,/iEzAKYpwdfFprRV39B7GxJoz9LV.jpg,"Lorsque Suze Trappet apprend à 43 ans qu'elle est sérieusement malade, elle décide de partir à la recherche de l'enfant qu'elle a été forcée d'abandonner quand elle avait 15 ans. Sa quête administrative va lui faire croiser JB, quinquagénaire en plein burn out, et M. Blin, archiviste aveugle d'un enthousiasme impressionnant.  À eux trois, ils se lancent dans une quête aussi spectaculaire qu'improbable."
tt10230290,Matares,2020,90,Drama,"['Ali Damiche', 'Kobe Alix Hermann', 'Hacene Kerkache']","['Cedric', 'Djaffar']",Mohamed Rachid Benhadj,7.2,51.0,"A drama about immigration and the fight for survival, seen from the side of children: Mona, a catholic Ivorian little girl, and Said, a Muslim Algerian kid. Their initial hate will become a tender friendship showing the injustice in this world.",1.353,/64nRPW7eqiB5ziy4KDXWJkqFGiC.jpg,"À Tipasa, ville côtière algérienne connue pour ses ruines romaines Matares, Mona, une fillette ivoirienne de 8 ans, vend des fleurs aux touristes pour payer le contrebandier qui l'amènera chez son père en Italie."
tt10233406,Les blagues de Toto,2020,84,"Comedy,Family","['Gavril Dartevelle', 'Guillaume de Tonquédec', 'Anne Marivin']","['Toto', 'Jérôme, le papa de Toto', 'Sylvie, la maman de Toto']",Pascal Bourdiaux,4.0,190.0,"Back-to-school! For troublemaker Toto, it’s the best playground for fooling around. When a sculpture collapses during the opening of a museum, Toto is immediately blamed.  To prove his innocence, Toto has no other option but making a pact with Igor, the school nerd. In exchange for his help, Toto will help Igor being cool.  The unlikely duo turns into little detectives. A fun and exciting adventure begins…",3.014,/4tZzPJHuszU7SxcqYTh7KH6cwBW.jpg,"A l’école, Toto est bien plus doué pour faire rire ses copains qu’écouter les leçons de la maîtresse. Avec ses parents aussi, les blagues de Toto se transforment souvent en catastrophes… La dernière en date ? La chute d’une sculpture pendant un évènement organisé par le patron de son père. Mais cette fois-ci, Toto assure qu’il est innocent et refuse d’être accusé d’une bêtise que pour une fois, il n’a pas faite ! Avec ses meilleurs amis, il va mener l’enquête."
